,left_shoulder,right_shoulder,left_elbow,right_elbow,left_knee,right_knee
0,"[2, 104]","[5, 98]","[3, 170]","[6, 179]","[10, 9999]","[13, 9999]"
1,"[2, 111]","[5, 136]","[3, 165]","[6, 167]","[10, 9999]","[13, 9999]"
2,"[2, 88]","[5, 110]","[3, 179]","[6, 22]","[10, 9999]","[13, 9999]"
3,"[2, 104]","[5, 97]","[3, 10]","[6, 171]","[10, 9999]","[13, 9999]"
4,"[2, 148]","[5, 133]","[3, 153]","[6, 27]","[10, 9999]","[13, 9999]"
5,"[2, 120]","[5, 132]","[3, 22]","[6, 26]","[10, 9999]","[13, 9999]"
6,"[2, 104]","[5, 96]","[3, 7]","[6, 178]","[10, 9999]","[13, 9999]"
7,"[2, 9999]","[5, 19]","[3, 9999]","[6, 176]","[10, 9999]","[13, 9999]"
8,"[2, 95]","[5, 88]","[3, 179]","[6, 11]","[10, 9999]","[13, 9999]"
9,"[2, 103]","[5, 102]","[3, 6]","[6, 161]","[10, 9999]","[13, 179]"
10,"[2, 108]","[5, 117]","[3, 25]","[6, 14]","[10, 9999]","[13, 9999]"
11,"[2, 113]","[5, 117]","[3, 57]","[6, 23]","[10, 9999]","[13, 9999]"
12,"[2, 151]","[5, 94]","[3, 27]","[6, 87]","[10, 9999]","[13, 9999]"
13,"[2, 100]","[5, 126]","[3, 169]","[6, 175]","[10, 9999]","[13, 9999]"
14,"[2, 83]","[5, 99]","[3, 171]","[6, 93]","[10, 9999]","[13, 9999]"
15,"[2, 104]","[5, 96]","[3, 10]","[6, 178]","[10, 9999]","[13, 9999]"
16,"[2, 94]","[5, 137]","[3, 148]","[6, 173]","[10, 9999]","[13, 9999]"
17,"[2, 104]","[5, 127]","[3, 17]","[6, 124]","[10, 9999]","[13, 9999]"
18,"[2, 126]","[5, 111]","[3, 9]","[6, 140]","[10, 9999]","[13, 9999]"
19,"[2, 136]","[5, 149]","[3, 27]","[6, 25]","[10, 9999]","[13, 9999]"
20,"[2, 164]","[5, 107]","[3, 50]","[6, 141]","[10, 9999]","[13, 9999]"
21,"[2, 127]","[5, 171]","[3, 68]","[6, 75]","[10, 9999]","[13, 9999]"
22,"[2, 138]","[5, 171]","[3, 30]","[6, 43]","[10, 9999]","[13, 9999]"
23,"[2, 158]","[5, 123]","[3, 43]","[6, 172]","[10, 9999]","[13, 9999]"
24,"[2, 120]","[5, 130]","[3, 74]","[6, 90]","[10, 9999]","[13, 9999]"
25,"[2, 101]","[5, 108]","[3, 72]","[6, 128]","[10, 9999]","[13, 9999]"
26,"[2, 135]","[5, 133]","[3, 23]","[6, 111]","[10, 9999]","[13, 9999]"
27,"[2, 71]","[5, 133]","[3, 0]","[6, 90]","[10, 9999]","[13, 9999]"
28,"[2, 106]","[5, 115]","[3, 159]","[6, 150]","[10, 9999]","[13, 9999]"
29,"[2, 114]","[5, 115]","[3, 113]","[6, 148]","[10, 9999]","[13, 9999]"
30,"[2, 113]","[5, 110]","[3, 53]","[6, 168]","[10, 9999]","[13, 9999]"
31,"[2, 114]","[5, 66]","[3, 172]","[6, 158]","[10, 9999]","[13, 9999]"
32,"[2, 131]","[5, 80]","[3, 161]","[6, 113]","[10, 164]","[13, 9999]"
33,"[2, 154]","[5, 20]","[3, 67]","[6, 95]","[10, 146]","[13, 159]"
