,left_shoulder,right_shoulder,left_elbow,right_elbow,left_knee,right_knee,left_neck,right_neck
0,"[2, 122]","[5, 98]","[3, 109]","[6, 136]","[10, 171]","[13, 148]","[1, 96]","[1, 79]"
1,"[2, 137]","[5, 131]","[3, 71]","[6, 171]","[10, 139]","[13, 139]","[1, 89]","[1, 83]"
2,"[2, 112]","[5, 150]","[3, 177]","[6, 19]","[10, 170]","[13, 173]","[1, 110]","[1, 66]"
3,"[2, 118]","[5, 94]","[3, 143]","[6, 169]","[10, 173]","[13, 139]","[1, 65]","[1, 114]"
4,"[2, 118]","[5, 113]","[3, 31]","[6, 50]","[10, 167]","[13, 172]","[1, 97]","[1, 79]"
5,"[2, 113]","[5, 95]","[3, 8]","[6, 60]","[10, 154]","[13, 168]","[1, 97]","[1, 84]"
6,"[2, 113]","[5, 109]","[3, 88]","[6, 125]","[10, 9999]","[13, 9999]","[1, 100]","[1, 72]"
7,"[2, 86]","[5, 101]","[3, 5]","[6, 165]","[10, 178]","[13, 152]","[1, 96]","[1, 77]"
8,"[2, 99]","[5, 136]","[3, 168]","[6, 173]","[10, 179]","[13, 177]","[1, 104]","[1, 72]"
9,"[2, 123]","[5, 102]","[3, 175]","[6, 164]","[10, 171]","[13, 178]","[1, 84]","[1, 93]"
10,"[2, 138]","[5, 127]","[3, 135]","[6, 61]","[10, 9999]","[13, 9999]","[1, 82]","[1, 95]"
11,"[2, 105]","[5, 109]","[3, 22]","[6, 24]","[10, 9999]","[13, 9999]","[1, 107]","[1, 76]"
12,"[2, 144]","[5, 113]","[3, 138]","[6, 93]","[10, 9999]","[13, 9999]","[1, 78]","[1, 101]"
13,"[2, 82]","[5, 108]","[3, 9]","[6, 170]","[10, 148]","[13, 152]","[1, 93]","[1, 89]"
14,"[2, 96]","[5, 138]","[3, 173]","[6, 51]","[10, 175]","[13, 177]","[1, 98]","[1, 84]"
15,"[2, 131]","[5, 101]","[3, 169]","[6, 153]","[10, 179]","[13, 172]","[1, 90]","[1, 89]"
16,"[2, 129]","[5, 107]","[3, 81]","[6, 23]","[10, 176]","[13, 174]","[1, 97]","[1, 82]"
17,"[2, 111]","[5, 92]","[3, 100]","[6, 32]","[10, 171]","[13, 174]","[1, 87]","[1, 92]"
18,"[2, 127]","[5, 122]","[3, 41]","[6, 38]","[10, 178]","[13, 179]","[1, 98]","[1, 86]"
19,"[2, 171]","[5, 169]","[3, 56]","[6, 66]","[10, 110]","[13, 151]","[1, 98]","[1, 78]"
20,"[2, 154]","[5, 176]","[3, 161]","[6, 63]","[10, 156]","[13, 120]","[1, 83]","[1, 93]"
21,"[2, 133]","[5, 126]","[3, 24]","[6, 17]","[10, 162]","[13, 168]","[1, 101]","[1, 78]"
22,"[2, 167]","[5, 119]","[3, 57]","[6, 158]","[10, 121]","[13, 143]","[1, 102]","[1, 81]"
23,"[2, 160]","[5, 168]","[3, 171]","[6, 65]","[10, 173]","[13, 112]","[1, 80]","[1, 77]"
24,"[2, 139]","[5, 134]","[3, 112]","[6, 88]","[10, 170]","[13, 177]","[1, 49]","[1, 133]"
25,"[2, 95]","[5, 165]","[3, 9999]","[6, 98]","[10, 178]","[13, 173]","[1, 162]","[1, 8]"
26,"[2, 168]","[5, 148]","[3, 136]","[6, 96]","[10, 136]","[13, 161]","[1, 62]","[1, 109]"
27,"[2, 97]","[5, 85]","[3, 69]","[6, 160]","[10, 127]","[13, 153]","[1, 142]","[1, 53]"
28,"[2, 92]","[5, 143]","[3, 177]","[6, 179]","[10, 150]","[13, 178]","[1, 79]","[1, 105]"
29,"[2, 99]","[5, 143]","[3, 174]","[6, 169]","[10, 164]","[13, 165]","[1, 83]","[1, 98]"
30,"[2, 103]","[5, 114]","[3, 177]","[6, 179]","[10, 139]","[13, 173]","[1, 96]","[1, 85]"
31,"[2, 99]","[5, 102]","[3, 148]","[6, 179]","[10, 170]","[13, 119]","[1, 135]","[1, 41]"
32,"[2, 53]","[5, 131]","[3, 9999]","[6, 85]","[10, 164]","[13, 9999]","[1, 145]","[1, 34]"
33,"[2, 159]","[5, 72]","[3, 159]","[6, 36]","[10, 149]","[13, 142]","[1, 37]","[1, 131]"
34,"[2, 152]","[5, 144]","[3, 24]","[6, 18]","[10, 178]","[13, 173]","[1, 89]","[1, 98]"
35,"[2, 173]","[5, 170]","[3, 10]","[6, 28]","[10, 154]","[13, 171]","[1, 48]","[1, 124]"
36,"[2, 110]","[5, 167]","[3, 9999]","[6, 66]","[10, 9999]","[13, 133]","[1, 89]","[1, 89]"
37,"[2, 143]","[5, 119]","[3, 59]","[6, 65]","[10, 142]","[13, 135]","[1, 93]","[1, 84]"
38,"[2, 110]","[5, 110]","[3, 48]","[6, 83]","[10, 152]","[13, 158]","[1, 92]","[1, 87]"
39,"[2, 128]","[5, 151]","[3, 175]","[6, 179]","[10, 170]","[13, 148]","[1, 76]","[1, 111]"
40,"[2, 153]","[5, 141]","[3, 127]","[6, 170]","[10, 172]","[13, 156]","[1, 117]","[1, 69]"
41,"[2, 133]","[5, 104]","[3, 92]","[6, 17]","[10, 151]","[13, 136]","[1, 112]","[1, 68]"
42,"[2, 118]","[5, 131]","[3, 97]","[6, 164]","[10, 91]","[13, 67]","[1, 160]","[1, 22]"
43,"[2, 128]","[5, 138]","[3, 163]","[6, 148]","[10, 178]","[13, 168]","[1, 82]","[1, 92]"
44,"[2, 118]","[5, 112]","[3, 64]","[6, 59]","[10, 156]","[13, 147]","[1, 90]","[1, 87]"
45,"[2, 154]","[5, 118]","[3, 170]","[6, 4]","[10, 156]","[13, 170]","[1, 86]","[1, 90]"
46,"[2, 147]","[5, 116]","[3, 169]","[6, 26]","[10, 177]","[13, 177]","[1, 86]","[1, 96]"
47,"[2, 134]","[5, 177]","[3, 86]","[6, 40]","[10, 177]","[13, 173]","[1, 93]","[1, 86]"
48,"[2, 177]","[5, 127]","[3, 177]","[6, 113]","[10, 144]","[13, 157]","[1, 90]","[1, 89]"
49,"[2, 117]","[5, 102]","[3, 103]","[6, 173]","[10, 156]","[13, 143]","[1, 93]","[1, 84]"
50,"[2, 107]","[5, 53]","[3, 175]","[6, 30]","[10, 162]","[13, 170]","[1, 87]","[1, 92]"
51,"[2, 140]","[5, 99]","[3, 173]","[6, 170]","[10, 179]","[13, 152]","[1, 76]","[1, 105]"
52,"[2, 127]","[5, 116]","[3, 108]","[6, 33]","[10, 176]","[13, 170]","[1, 93]","[1, 84]"
53,"[2, 158]","[5, 139]","[3, 9999]","[6, 145]","[10, 174]","[13, 163]","[1, 89]","[1, 101]"
54,"[2, 132]","[5, 105]","[3, 144]","[6, 55]","[10, 9999]","[13, 9999]","[1, 93]","[1, 84]"
55,"[2, 158]","[5, 143]","[3, 156]","[6, 29]","[10, 100]","[13, 123]","[1, 111]","[1, 81]"
56,"[2, 148]","[5, 152]","[3, 160]","[6, 167]","[10, 167]","[13, 148]","[1, 100]","[1, 74]"
57,"[2, 163]","[5, 142]","[3, 32]","[6, 48]","[10, 137]","[13, 146]","[1, 85]","[1, 94]"
58,"[2, 120]","[5, 114]","[3, 78]","[6, 21]","[10, 176]","[13, 169]","[1, 70]","[1, 109]"
59,"[2, 96]","[5, 105]","[3, 5]","[6, 86]","[10, 167]","[13, 173]","[1, 94]","[1, 83]"
